State,Year,Month,Day,Rainfall (mm)
Johor,2014,11,2,2.13
Johor,2014,11,3,49.94
Johor,2014,11,4,23.47
Johor,2014,11,5,8.63
Johor,2014,11,6,0.75
Johor,2014,11,7,0.03
Johor,2014,11,8,0.00
Johor,2014,11,9,2.51
Johor,2014,11,10,20.75
Johor,2014,11,11,5.10
Johor,2014,11,12,1.40
Johor,2014,11,13,0.12
Johor,2014,11,14,0.06
Johor,2014,11,15,0.36
Johor,2014,11,16,0.57
Johor,2014,11,17,0.21
Johor,2014,11,18,1.13
Johor,2014,11,19,5.08
Johor,2014,11,20,3.48
Johor,2014,11,21,1.46
Johor,2014,11,22,0.71
Johor,2014,11,23,1.69
Johor,2014,11,24,2.03
Johor,2014,11,25,1.83
Johor,2014,11,26,3.38
Johor,2014,11,27,0.39
Johor,2014,11,28,0.21
Johor,2014,11,29,9.19
Johor,2014,11,30,10.64
Johor,2014,12,1,5.41
Johor,2014,12,2,13.13
Johor,2014,12,3,19.20
Johor,2014,12,4,8.12
Johor,2014,12,5,0.08
Johor,2014,12,6,29.25
Johor,2014,12,7,2.25
Johor,2014,12,8,8.48
Johor,2014,12,9,11.77
Johor,2014,12,10,0.85
Johor,2014,12,11,1.37
Johor,2014,12,12,0.73
Johor,2014,12,13,1.21
Johor,2014,12,14,1.24
Johor,2014,12,15,2.87
Johor,2014,12,16,7.25
Johor,2014,12,17,5.79
Johor,2014,12,18,5.91
Johor,2014,12,19,6.20
Johor,2014,12,20,13.54
Johor,2014,12,21,15.18
Johor,2014,12,22,10.68
Johor,2014,12,23,5.19
Johor,2014,12,24,1.71
Johor,2014,12,25,0.96
Johor,2014,12,26,0.50
Johor,2014,12,27,0.19
Johor,2014,12,28,0.46
Johor,2014,12,29,0.69
Johor,2014,12,30,0.44
Johor,2014,12,31,0.41
Johor,2015,1,1,1.77
Johor,2015,1,2,2.13
Johor,2015,1,3,0.90
Johor,2015,1,4,0.98
Johor,2015,1,5,2.44
Johor,2015,1,6,3.11
Johor,2015,1,7,3.84
Johor,2015,1,8,1.93
Johor,2015,1,9,1.82
Johor,2015,1,10,1.67
Johor,2015,1,11,1.41
Johor,2015,1,12,2.23
Johor,2015,1,13,0.99
Johor,2015,1,14,1.10
Johor,2015,1,15,2.01
Johor,2015,1,16,0.23
Johor,2015,1,17,0.04
Johor,2015,1,18,0.10
Johor,2015,1,19,0.09
Johor,2015,1,20,0.26
Johor,2015,1,21,0.52
Johor,2015,1,22,0.26
Johor,2015,1,23,0.13
Johor,2015,1,24,0.17
Johor,2015,1,25,0.06
Johor,2015,1,26,0.28
Johor,2015,1,27,1.32
Johor,2015,1,28,0.94
Johor,2015,1,29,1.12
Johor,2015,1,30,1.17
Johor,2015,1,31,4.68
Johor,2015,2,1,1.86
Johor,2015,2,2,0.14
Johor,2015,2,3,0.49
Johor,2015,2,4,0.76
Johor,2015,2,5,1.10
Johor,2015,2,6,1.57
Johor,2015,2,7,0.83
Johor,2015,2,8,1.43
Johor,2015,2,9,2.77
Johor,2015,2,10,2.40
Johor,2015,2,11,1.32
Johor,2015,2,12,0.57
Johor,2015,2,13,0.46
Johor,2015,2,14,1.59
Johor,2015,2,15,0.49
Johor,2015,2,16,0.13
Johor,2015,2,17,0.22
Johor,2015,2,18,0.19
Johor,2015,2,19,0.01
Johor,2015,2,20,0.12
Johor,2015,2,21,1.26
Johor,2015,2,22,2.57
Johor,2015,2,23,1.03
Johor,2015,2,24,1.01
Johor,2015,2,25,0.76
Johor,2015,2,26,0.60
Johor,2015,2,27,0.47
Johor,2015,2,28,0.24
Johor,2015,3,1,0.30
Johor,2015,3,2,0.40
Johor,2015,3,3,0.53
Johor,2015,3,4,0.08
Johor,2015,3,5,0.05
Johor,2015,3,6,0.04
Johor,2015,3,7,1.45
Johor,2015,3,8,1.55
Johor,2015,3,9,0.07
Johor,2015,3,10,0.05
Johor,2015,3,11,0.16
Johor,2015,3,12,0.10
Johor,2015,3,13,0.71
Johor,2015,3,14,1.88
Johor,2015,3,15,1.88
Johor,2015,3,16,0.37
Johor,2015,3,17,0.25
Johor,2015,3,18,0.10
Johor,2015,3,19,0.16
Johor,2015,3,20,0.14
Johor,2015,3,21,0.10
Johor,2015,3,22,0.29
Johor,2015,3,23,0.00
Johor,2015,3,24,0.08
Johor,2015,3,25,0.03
Johor,2015,3,26,10.73
Johor,2015,3,27,0.50
Johor,2015,3,28,0.21
Johor,2015,3,29,0.00
Johor,2015,3,30,0.00
Johor,2015,3,31,0.01
Johor,2015,4,1,0.21
Johor,2015,4,2,0.00
Johor,2015,4,3,0.00
Johor,2015,4,4,0.00
Johor,2015,4,5,0.00
Johor,2015,4,6,0.01
Johor,2015,4,7,0.02
Johor,2015,4,8,0.06
Johor,2015,4,9,0.10
Johor,2015,4,10,0.04
Johor,2015,4,11,0.00
Johor,2015,4,12,0.01
Johor,2015,4,13,0.00
Johor,2015,4,14,0.00
Johor,2015,4,15,0.00
Johor,2015,4,16,0.01
Johor,2015,4,17,0.76
Johor,2015,4,18,2.12
Johor,2015,4,19,0.06
Johor,2015,4,20,0.00
Johor,2015,4,21,0.00
Johor,2015,4,22,0.08
Johor,2015,4,23,0.08
Johor,2015,4,24,0.05
Johor,2015,4,25,0.00
Johor,2015,4,26,0.00
Johor,2015,4,27,0.00
Johor,2015,4,28,0.00
Johor,2015,4,29,0.00
Johor,2015,4,30,0.00
Johor,2015,5,1,0.00
Johor,2015,5,2,0.00
Johor,2015,5,3,0.07
Johor,2015,5,4,0.00
Johor,2015,5,5,0.09
Johor,2015,5,6,2.99
Johor,2015,5,7,1.96
Johor,2015,5,8,0.05
Johor,2015,5,9,0.04
Johor,2015,5,10,0.59
Johor,2015,5,11,0.45
Johor,2015,5,12,3.56
Johor,2015,5,13,0.32
Johor,2015,5,14,0.02
Johor,2015,5,15,0.01
Johor,2015,5,16,0.07
Johor,2015,5,17,0.10
Johor,2015,5,18,0.02
Johor,2015,5,19,0.02
Johor,2015,5,20,0.25
