State,Year,Month,Day,Rainfall (mm)
Johor,2015,11,22,18.01
Johor,2015,11,23,21.37
Johor,2015,11,24,16.06
Johor,2015,11,25,13.11
Johor,2015,11,26,15.32
Johor,2015,11,27,23.23
Johor,2015,11,28,14.19
Johor,2015,11,29,15.97
Johor,2015,11,30,19.89
Johor,2015,12,1,26.84
Johor,2015,12,2,28.78
Johor,2015,12,3,9.59
Johor,2015,12,4,7.46
Johor,2015,12,5,5.65
Johor,2015,12,6,10.41
Johor,2015,12,7,6.19
Johor,2015,12,8,8.08
Johor,2015,12,9,20.28
Johor,2015,12,10,10.91
Johor,2015,12,11,9.75
Johor,2015,12,12,25.62
Johor,2015,12,13,22.42
Johor,2015,12,14,13.32
Johor,2015,12,15,11.93
Johor,2015,12,16,12.61
Johor,2015,12,17,13.10
Johor,2015,12,18,6.40
Johor,2015,12,19,10.12
Johor,2015,12,20,11.44
Johor,2015,12,21,5.60
Johor,2015,12,22,5.46
Johor,2015,12,23,2.21
Johor,2015,12,24,0.94
Johor,2015,12,25,0.19
Johor,2015,12,26,0.08
Johor,2015,12,27,1.00
Johor,2015,12,28,0.97
Johor,2015,12,29,4.91
Johor,2015,12,30,5.14
Johor,2015,12,31,6.91
Johor,2016,1,1,3.19
Johor,2016,1,2,6.03
Johor,2016,1,3,7.51
Johor,2016,1,4,5.07
Johor,2016,1,5,5.85
Johor,2016,1,6,4.83
Johor,2016,1,7,4.79
Johor,2016,1,8,3.78
Johor,2016,1,9,3.60
Johor,2016,1,10,1.85
Johor,2016,1,11,2.13
Johor,2016,1,12,2.28
Johor,2016,1,13,2.34
Johor,2016,1,14,2.23
Johor,2016,1,15,1.69
Johor,2016,1,16,1.78
Johor,2016,1,17,1.98
Johor,2016,1,18,1.49
Johor,2016,1,19,2.99
Johor,2016,1,20,0.87
Johor,2016,1,21,0.31
Johor,2016,1,22,0.35
Johor,2016,1,23,1.11
Johor,2016,1,24,5.01
Johor,2016,1,25,4.99
Johor,2016,1,26,7.99
Johor,2016,1,27,7.17
Johor,2016,1,28,6.92
Johor,2016,1,29,4.29
Johor,2016,1,30,11.68
Johor,2016,1,31,9.14
Johor,2016,2,1,5.78
Johor,2016,2,2,3.92
Johor,2016,2,3,5.55
Johor,2016,2,4,3.90
Johor,2016,2,5,3.25
Johor,2016,2,6,4.10
Johor,2016,2,7,8.49
Johor,2016,2,8,10.35
Johor,2016,2,9,7.82
Johor,2016,2,10,2.85
Johor,2016,2,11,2.08
Johor,2016,2,12,5.20
Johor,2016,2,13,5.43
Johor,2016,2,14,3.79
Johor,2016,2,15,1.77
Johor,2016,2,16,7.53
Johor,2016,2,17,27.25
